# {"t_start": 1587621379.6271071, "env_id": "Reacher-v2"} 
r,l,t
-167.365458,50,1.771962
-114.532381,50,1.81803
-137.456164,50,1.865628
-135.933228,50,1.911599
-96.42109,50,1.958109
-183.519701,50,2.005694
-133.014737,50,2.052117
-152.251216,50,2.099848
-105.252306,50,2.14727
-141.08501,50,2.192515
-153.392247,50,2.24048
-133.761723,50,2.286204
-135.534506,50,2.334214
-121.995569,50,2.380708
-114.710349,50,2.427207
-157.023466,50,2.474851
-116.923065,50,2.521742
-133.708113,50,2.568614
-102.554066,50,2.617188
-116.617503,50,2.662358
-141.354869,50,2.710907
-168.621764,50,2.758361
-100.871306,50,2.806067
-133.657402,50,2.851506
-99.491066,50,2.897844
-130.827253,50,2.945441
-114.84742,50,2.991266
-119.869772,50,3.038939
-127.437023,50,3.084999
-145.191722,50,3.131075
-125.041305,50,3.178695
-93.790829,50,3.224293
-124.080361,50,3.271635
-94.414022,50,3.317655
-113.762951,50,3.364711
-121.92536,50,3.412106
-131.519074,50,3.458264
-161.14504,50,3.50584
-105.809223,50,3.561628
-101.961989,50,3.611994
-116.943865,50,5.61
-125.409538,50,5.662811
-88.267926,50,5.709218
-143.170457,50,5.759639
-127.561773,50,5.806854
-102.192539,50,5.855286
-105.88003,50,5.901553
-109.933643,50,5.948001
-119.277277,50,5.996806
-123.098837,50,6.044644
-133.512542,50,6.09456
-176.93343,50,6.141612
-109.2931,50,6.188709
-151.491253,50,6.236771
-106.025726,50,6.283749
-118.305775,50,6.332715
-127.079627,50,6.380748
-100.676198,50,6.428111
-116.726791,50,6.475822
-122.731296,50,6.522144
-130.73589,50,6.570951
-113.517337,50,6.617182
-124.551952,50,6.664219
-98.796813,50,6.711542
-120.184529,50,6.757931
-141.537882,50,6.806145
-107.194871,50,6.852637
-115.104781,50,6.899015
-107.636197,50,6.948696
-101.713536,50,6.994725
-100.756492,50,7.04394
-100.460037,50,7.090612
-111.404829,50,7.138424
-119.207439,50,7.185745
-98.843441,50,7.232282
-109.215,50,7.279953
-149.800449,50,7.326718
-113.692178,50,7.375152
-130.442571,50,7.423932
-122.817999,50,7.469891
-126.053155,50,7.518291
-100.396712,50,9.043068
-93.882071,50,9.092141
-113.553586,50,9.139636
-121.20373,50,9.186655
-121.944289,50,9.233703
-106.157463,50,9.281567
-122.860062,50,9.328128
-93.894538,50,9.375258
-116.124567,50,9.423015
-81.878009,50,9.469165
-94.758188,50,9.51791
-79.578946,50,9.564219
-103.485945,50,9.611528
-106.998946,50,9.659462
-137.914494,50,9.706001
-96.429454,50,9.757399
-101.852756,50,9.804424
-111.728046,50,9.853326
-90.761386,50,9.899581
-119.461841,50,9.948033
-132.493807,50,9.996022
-115.286136,50,10.044165
-107.69893,50,10.092798
-96.604999,50,10.142338
-119.729793,50,10.188491
-104.374326,50,10.236222
-103.583367,50,10.283605
-95.82407,50,10.331985
-110.894911,50,10.379145
-97.172357,50,10.427427
-108.280483,50,10.474231
-114.619065,50,10.520987
-101.324952,50,10.569649
-96.11696,50,10.6182
-93.96909,50,10.667052
-102.382022,50,10.715026
-106.79518,50,10.762597
-107.624791,50,10.811017
-118.819616,50,10.859025
-93.496983,50,10.907776
-93.523385,50,10.95391
-137.169868,50,12.473811
-81.835153,50,12.522178
-86.569573,50,12.573545
-94.385887,50,12.619866
-109.583193,50,12.669484
-130.32936,50,12.715612
-121.406543,50,12.762096
-106.820486,50,12.810758
-120.313504,50,12.857358
-132.398916,50,12.904886
-119.835645,50,12.953534
-89.977782,50,13.005663
-119.917531,50,13.059343
-111.172222,50,13.111012
-99.229963,50,13.170521
-119.985957,50,13.218622
-87.769816,50,13.270647
-98.431497,50,13.316428
-103.52901,50,13.364548
-97.295902,50,13.410666
-103.969606,50,13.457201
-102.624902,50,13.504936
-81.622013,50,13.552606
-109.12802,50,13.600064
-103.288459,50,13.647155
-84.266168,50,13.692823
-79.935985,50,13.741685
-131.988642,50,13.787749
-104.316904,50,13.835577
-93.971441,50,13.884226
-107.990078,50,13.930601
-90.947821,50,13.979194
-91.479142,50,14.025957
-96.054684,50,14.073323
-113.895785,50,14.121233
-101.460964,50,14.167001
-102.768409,50,14.215482
-80.145098,50,14.261993
-72.427787,50,14.308489
-109.276918,50,14.357415
-94.076645,50,14.404163
-135.343302,50,15.935073
-92.478719,50,15.99003
-95.937039,50,16.036051
-87.626703,50,16.084363
-73.377379,50,16.130749
-91.184043,50,16.17658
-96.495485,50,16.22437
-84.211201,50,16.272334
-84.192704,50,16.318221
-102.211189,50,16.365925
-103.940034,50,16.411667
-95.124948,50,16.459982
-103.671354,50,16.505437
-110.287289,50,16.552313
-90.772379,50,16.599726
-77.245954,50,16.645802
-79.472359,50,16.693233
-100.981461,50,16.740237
-86.226013,50,16.786226
-89.397936,50,16.833246
-76.034753,50,16.880246
-84.017044,50,16.928057
-81.080482,50,16.985069
-87.789682,50,17.044817
-101.050469,50,17.111083
-86.433124,50,17.169593
-91.707216,50,17.216015
-75.764006,50,17.271127
-72.580343,50,17.321506
-105.714216,50,17.377074
-80.255124,50,17.427434
-108.443853,50,17.475022
-130.414251,50,17.523881
-82.040361,50,17.569855
-105.468566,50,17.61711
-85.804463,50,17.664816
-113.9373,50,17.71103
-98.095737,50,17.758938
-87.834246,50,17.805653
-108.867335,50,17.85245
-117.456402,50,17.89959
-90.561086,50,19.418956
-89.199457,50,19.467424
-104.848659,50,19.5154
-82.428424,50,19.561419
-84.6519,50,19.607612
-83.825013,50,19.655492
-92.775299,50,19.701695
-74.154001,50,19.750714
-79.602048,50,19.797192
-88.859086,50,19.842874
-91.795743,50,19.892638
-94.365174,50,19.93813
-89.12328,50,19.986335
-70.367306,50,20.03309
-90.896419,50,20.08015
-82.107472,50,20.127517
-92.562744,50,20.174083
-81.925609,50,20.221617
-75.094497,50,20.267997
-81.016538,50,20.313497
-94.463309,50,20.362269
-83.945481,50,20.408245
-81.277625,50,20.457113
-72.537023,50,20.503209
-88.609614,50,20.55086
-105.733678,50,20.599488
-94.756107,50,20.646411
-86.849549,50,20.693847
-77.262592,50,20.741119
-84.792053,50,20.786541
-110.804102,50,20.834728
-85.674426,50,20.880126
-83.125342,50,20.92764
-95.104368,50,20.973435
-67.220591,50,21.019227
-84.070145,50,21.068005
-91.276814,50,21.11419
-77.049809,50,21.161648
-90.880868,50,21.214306
-81.654426,50,21.264124
-82.598827,50,21.314743
-77.245725,50,23.190632
-90.197751,50,23.236494
-72.99602,50,23.284354
-77.65066,50,23.330439
-96.164796,50,23.376227
-79.500294,50,23.425791
-84.866126,50,23.472971
-89.671275,50,23.520592
-87.569664,50,23.567035
-90.621342,50,23.612673
-80.022268,50,23.661064
-77.679899,50,23.706293
-91.387892,50,23.754423
-94.515357,50,23.800573
-95.325757,50,23.846553
-62.46934,50,23.893659
-86.483407,50,23.939512
-100.090995,50,23.986608
-86.865267,50,24.034109
-79.417975,50,24.079809
-69.925963,50,24.131233
-68.262181,50,24.189668
-89.093316,50,24.238172
-72.94817,50,24.284175
-82.72249,50,24.330847
-79.377392,50,24.378575
-72.132181,50,24.424694
-62.854262,50,24.473071
-102.964503,50,24.518616
-73.182331,50,24.566117
-84.172541,50,24.612143
-61.17182,50,24.659334
-81.140245,50,24.70656
-76.84338,50,24.753038
-93.016296,50,24.799888
-85.020649,50,24.846948
-75.708075,50,24.892371
-84.798062,50,24.940152
-97.336508,50,24.986155
-86.293401,50,25.033709
-73.513302,50,25.081079
-64.511926,50,26.598592
-81.807708,50,26.646883
-94.647194,50,26.695222
-60.782072,50,26.741532
-63.504776,50,26.790122
-71.745577,50,26.837442
-81.611272,50,26.883793
-75.856929,50,26.931447
-79.08727,50,26.978997
-69.646052,50,27.024745
-72.29469,50,27.073082
-75.898757,50,27.118739
-72.55349,50,27.167041
-101.195987,50,27.212369
-88.091198,50,27.258584
-53.021212,50,27.306133
-77.610481,50,27.353112
-93.784381,50,27.400723
-61.029681,50,27.447031
-78.134059,50,27.493176
-66.307224,50,27.541908
-80.593194,50,27.587934
-67.698443,50,27.635539
-82.962187,50,27.681733
-77.008095,50,27.728054
-66.38581,50,27.776196
-73.685206,50,27.822703
-104.779913,50,27.870451
-67.665008,50,27.916649
-65.556012,50,27.961916
-76.863028,50,28.010469
-75.880392,50,28.056814
-81.523151,50,28.1049
-73.349924,50,28.152615
-76.827656,50,28.198636
-68.382596,50,28.246406
-107.537784,50,28.292892
-57.344852,50,28.339466
-70.192194,50,28.393522
-88.471628,50,28.440923
-72.959426,50,28.49219
